Pl 1 hand,Pl 2 hand,Round,Surface,Best of,Final TB?,Year,tournament_level,p1_previous_matches,p2_previous_matches,experience_diff,p1_previous_win_rate,p2_previous_win_rate,win_rate_diff,p1_surface_matches,p2_surface_matches,surface_experience_diff,p1_surface_win_rate,p2_surface_win_rate,surface_win_rate_diff,target
R,R,QF,Clay,3,1,2021,Masters 1000,4,1,3,1.0,0.0,1.0,1,0,1,1.0,0.5,0.5,1
R,R,SF,Clay,3,1,2021,Masters 1000,3,5,-2,0.6666666666666666,0.8,-0.13333333333333341,1,3,-2,1.0,1.0,0.0,1
R,R,SF,Clay,3,1,2021,Masters 1000,4,5,-1,1.0,1.0,0.0,2,2,0,1.0,1.0,0.0,0
R,R,F,Clay,3,1,2021,Masters 1000,4,6,-2,0.75,1.0,-0.25,2,3,-1,1.0,1.0,0.0,1
R,R,F,Clay,3,1,2021,Challenger,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,R,R64,Clay,3,1,2021,Masters 1000,2,2,0,0.0,0.5,-0.5,0,0,0,0.5,0.5,0.0,1
R,R,R64,Clay,3,1,2021,Masters 1000,3,15,-12,0.3333333333333333,0.6,-0.26666666666666666,0,2,-2,0.5,0.0,0.5,1
R,R,R64,Clay,3,1,2021,Masters 1000,3,2,1,0.3333333333333333,0.5,-0.16666666666666669,0,0,0,0.5,0.5,0.0,0
R,R,R32,Clay,3,1,2021,Masters 1000,4,3,1,0.5,0.3333333333333333,0.16666666666666669,1,1,0,1.0,1.0,0.0,0
R,R,R32,Clay,3,1,2021,Masters 1000,2,7,-5,0.5,0.8571428571428571,-0.3571428571428571,1,4,-3,1.0,0.75,0.25,0
R,R,R16,Clay,3,1,2021,Masters 1000,4,13,-9,0.25,0.7692307692307693,-0.5192307692307693,1,1,0,0.0,0.0,0.0,0
R,R,R16,Clay,3,1,2021,Masters 1000,4,3,1,0.5,0.6666666666666666,-0.16666666666666663,2,1,1,1.0,0.0,1.0,1
R,L,QF,Clay,3,1,2021,Masters 1000,5,1,4,0.6,0.0,0.6,3,1,2,1.0,0.0,1.0,1
R,R,SF,Clay,3,1,2021,Masters 1000,3,1,2,0.6666666666666666,0.0,0.6666666666666666,1,0,1,0.0,0.5,-0.5,1
R,R,R32,Clay,3,1,2021,ATP 250,5,2,3,0.4,0.0,0.4,2,1,1,0.5,0.0,0.5,1
R,R,SF,Clay,3,1,2021,ATP 250,14,6,8,0.7857142857142857,0.5,0.2857142857142857,6,3,3,0.8333333333333334,0.6666666666666666,0.16666666666666674,1
R,L,F,Clay,3,1,2021,ATP 250,15,3,12,0.8,0.6666666666666666,0.13333333333333341,7,2,5,0.8571428571428571,0.5,0.3571428571428571,1
R,R,Q1,Clay,3,1,2021,Grand Slam,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,R,Q1,Clay,3,1,2021,Grand Slam,0,2,-2,0.5,0.0,0.5,0,0,0,0.5,0.5,0.0,1
R,R,Q3,Clay,3,1,2021,Grand Slam,4,0,4,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
